Unnamed: 0,id,usuario,timestamp,localizacao,texto,retweet,geo,coordenadas
43,1172870903392342017,eeregin,2019-09-14 13:53:08,Uberlândia,@cemig_energia Liguei 116 e nada... Baixei o app e pede pra ligar no 116 ou usar este meio de comunicação. Só falta aqui... Quero que resolvam meu problema que vieram 2 vezes em curto espaço de tempo fazer leitura e cobraram duas vezes a taxa de iluminação pública. Conveniente?,False,,
44,1172864250039164928,ElimereSantos,2019-09-14 13:26:42,,"eu não sei ligar pra Cemig não gente, misericórdia kkkkkkkk tentei 10 vezes e não conseguir",False,,
45,1172855382416527360,fabricioaimores,2019-09-14 12:51:28,Aimorés MG,CEMIG a PIOR energia do Brasil!,False,,
46,1172849311455076352,eduarda_hennig,2019-09-14 12:27:20,"Belo Horizonte, Brasil","Luz da rua acabou, que bosta
Alô @cemig_energia",False,,
47,1172845262928261120,tarsis_cruz,2019-09-14 12:11:15,Uberlândia - MG,@cemig_energia foi pago a mesma conta duas vezes....Qual o procedimento ?? Será descontado na próxima boleta ?,False,,
48,1172835158807982082,Andrea34415747,2019-09-14 11:31:06,"Cachoeira de Minas, Brasil",@brunnaja @LwithP Pro meu filho falo sócia da Cemig 😂😂😂😂,False,,
49,1172834986698969089,MissedQueen,2019-09-14 11:30:25,Brasil,"@cemig_energia 116 nem funciona, quero nem ver o app",False,,
50,1172834642090762240,MissedQueen,2019-09-14 11:29:03,Brasil,"A energia não funciona e nem o atendimento de vocês @cemig_energia, aí não ajuda ;-;",False,,
51,1172826431090503680,danilocessar99,2019-09-14 10:56:25,"Arcos, Brasil",@Caroll_Brito07 Tem que notificar a cemig,False,,
52,1172813466597568514,fernandaventu,2019-09-14 10:04:54,vitória resplendor,"@1313_Monica Em Resplendor, MG, 1 dia sem luz, colocaram fogo nos pastos e queimaram postes essenciais da CEMIG. País em chamas.",False,,
53,1172775116033449984,Ricardo59540643,2019-09-14 07:32:31,,"Essa é a época que a cemig mais gosta.....

O calorrrrrrrr.",False,,
54,1172737669215879168,stocknewstimes,2019-09-14 05:03:43,,CEMIG $CIG Short Interest Update  https://t.co/m1QHZ7GlXo,False,,
55,1172737461618974721,AmericanBanking,2019-09-14 05:02:53,"Sioux Falls, SD",CEMIG $CIG Short Interest Update https://t.co/oVIwpLbcDt #stocks,False,,
56,1172737458410274816,TheMarketsDaily,2019-09-14 05:02:53,,CEMIG $CIG Short Interest Update https://t.co/7AxrWUL3fs,False,,
57,1172736799535521792,macondailynews,2019-09-14 05:00:16,United States,CEMIG $CIG Short Interest Update https://t.co/pDpgbCvVE8,False,,
58,1172732325655920640,faelWar,2019-09-14 04:42:29,"Belo Horizonte, Brazil","Tem um branco na minha frente, morador do lourdes, empregado da CEMIG. Citando os casos de racismo que ele sofrer. Posso bater nele gente?",False,,
59,1172720503141928962,ch_jnts,2019-09-14 03:55:30,Juiz de Fora - Brasil,@Wil_Matsuda https://t.co/qcJo42dDkB,False,,
60,1172704707887980545,julia_melorib,2019-09-14 02:52:44,Belorihills,"fala sério, o povo da cemig vindo consertar o poste de luz de frente da minha janela essa hora",False,,
61,1172690601420230656,Jo_amaroo,2019-09-14 01:56:41,"Juiz de Fora, Brasil","Tomar banho na casa da amiga é ter dois pensamentos 

1- se eu demorar a mãe dela vai falar “virei sócia da cemig nem da cesama não”
2- se eu for rápida ela vai pensar “aí credo q banho de gato”",False,,
62,1172678701781323776,vandacapri,2019-09-14 01:09:24,Azeroth Brasil,RT @AnaliseEnergia: ⚡️ 🔌 Leilão da Cemig contrata usinas eólicas e solares com 476 MW em capacidade https://t.co/A6M2MYCiCZ #CMIG4 $CIG htt…,False,,
63,1172669367345197056,SenhoritaDesig1,2019-09-14 00:32:18,Brasil,@brunnaja @LwithP Aqui é Cemig. MG,False,,
64,1172667955001339904,jgcastro1985,2019-09-14 00:26:42,"São Paulo, Brasil","@TheCypriano Privatização que é bom, nada
https://t.co/Ko5aB8p5Nz",False,,
65,1172656819078094848,nilogusmao,2019-09-13 23:42:27,,@cemig_energia Orgulho dessa Empresa!,False,,
66,1172650032794759168,kira_markes,2019-09-13 23:15:29,"Belo Horizonte, Brasil","@yohcordeiro @brunnaja @LwithP Na minha é ""socia da cemig""",False,,
67,1172648323234164736,nathane227,2019-09-13 23:08:41,"Belo Horizonte, Brasil","Tá osso viu , minha madrinha foi viajar não pagou UMA CONTA SE QUER. Cemig já cortou a luz , copasa tá quase batendo na porta e a internet não pega mais
Maravilha",False,,
68,1172647793216802816,Eckartpld,2019-09-13 23:06:35,"Milwaukee, WI","@talesalvesf @colemarkin Leite Embaré não é nosso patrocinador, pessoal da Cemig vai ficar loucos kkkk",False,,
69,1172647068243910656,Gambiste1,2019-09-13 23:03:42,,RT @AnaliseEnergia: ⚡️ 🔌 Leilão da Cemig contrata usinas eólicas e solares com 476 MW em capacidade https://t.co/A6M2MYCiCZ #CMIG4 $CIG htt…,False,,
70,1172646108419354625,elisonpinho,2019-09-13 22:59:53,,@RomeuZema Vai privatizar a Copasa e a Cemig quando afinal?,False,,
71,1172645358612037632,BLOGBOTAFOGOE,2019-09-13 22:56:54,Rio de Janeiro,"RT @AnaliseEnergia: ⚡️🔝TOP 10 DA SEMANA&gt;&gt; Notícias do setor elétrico mais lidas no terminal Eikon. Tem entrevista com Light sobre gatos, La…",False,,
72,1172642361173635072,gojammaj,2019-09-13 22:45:00,São Paulo - Brasil,Leilão da Cemig contrata usinas eólicas e solares com 476 MW em... https://t.co/q9NzrcdvdS,False,,
73,1172641794204557312,FilipeVillegas,2019-09-13 22:42:45,"São Paulo, BRAZIL","RT @AnaliseEnergia: ⚡️🔝TOP 10 DA SEMANA&gt;&gt; Notícias do setor elétrico mais lidas no terminal Eikon. Tem entrevista com Light sobre gatos, La…",False,,
74,1172640731544133632,oinvestidor_,2019-09-13 22:38:31,"Florianópolis, Brasil",@AnaliseEnergia CEMIG no caminho certo,False,,
75,1172639695106387968,AnaliseEnergia,2019-09-13 22:34:24,"São Paulo, Brasil","⚡️🔝TOP 10 DA SEMANA&gt;&gt; Notícias do setor elétrico mais lidas no terminal Eikon. Tem entrevista com Light sobre gatos, Lava Jato contra Lobão e Lobinho, expansão da Alubar, oferta de ações da Omega, Leilão da Cemig, Eneva, previsão sobre tarifas e etc #OMGE3 #LIGT3 #CMIG4 #ENEV3👇 https://t.co/QwB1E2nmvl",False,,
76,1172638431056486400,CibelleCarolin3,2019-09-13 22:29:23,"Minas Gerais, Brasil",Amei o motorista do 1270 ♥️ nem 15 minutos e já estou na praça da Cemig,False,,
77,1172636124864495616,tradersclubbr,2019-09-13 22:20:13,"São Paulo, Brasil","$CMIG4: Leilão da Cemig contrata usinas eólicas e solares com 476 MW em capacidade (Reuters)

https://t.co/Hb4hbZ1yme",False,,
78,1172624397515001857,AnaliseEnergia,2019-09-13 21:33:37,"São Paulo, Brasil",⚡️ 🔌 Leilão da Cemig contrata usinas eólicas e solares com 476 MW em capacidade https://t.co/A6M2MYCiCZ #CMIG4 $CIG https://t.co/VJLq7j5v5v,False,,
79,1172619252425220096,xuaolucas,2019-09-13 21:13:10,"Minas Gerais, Brasil","RT @_lwite: Namoral , calor é so para quem é rico e pode ir na praia toda hora e ter ar condicionado em casa. Pobre fica tao desgraçado no…",False,,
80,1172616479642181632,givaldomoreira,2019-09-13 21:02:09,,Alo @cemig_energia!! Adivinhar os campos faz parte do professor cadastro? https://t.co/5WzXqfi4bl,False,,
81,1172614725965930496,alfredomartini,2019-09-13 20:55:11,São Paulo,$CMIG4 - CEMIG (CMIG-N1) - Outros Comunicados ao Mercado - 13/09/19 https://t.co/AX8xd95FoT,False,,
82,1172614723071827969,welington_wem,2019-09-13 20:55:10,"Minas Gerais, Brasil",$CMIG4 - CEMIG (CMIG-N1) - Outros Comunicados ao Mercado - 13/09/19 https://t.co/wm2cMeaRKw,False,,
83,1172614716528693249,llgonca,2019-09-13 20:55:09, Maria Quiteria 77/511 Ipanema,$CMIG4 - CEMIG (CMIG-N1) - Outros Comunicados ao Mercado - 13/09/19 https://t.co/aUgYCp2jid,False,,
84,1172614703044059136,bovespab,2019-09-13 20:55:05,brasilia df,$CMIG4 - CEMIG (CMIG-N1) - Outros Comunicados ao Mercado - 13/09/19 https://t.co/kPzHQ4VY1H,False,,
85,1172610403161034754,ccarolinyx,2019-09-13 20:38:00,Minas Gerais,Cemig amadah  ???,False,,
86,1172604920324927489,Byleozim,2019-09-13 20:16:13,Na sua cidade,@cristianfaria21 Tava na cemig?,False,,
